股票代码,股票名称,交易所
2107,沃华医药,深圳
2108,沧州明珠,深圳
2109,兴化股份,深圳
2110,三钢闽光,深圳
2111,威海广泰,深圳
2112,三变科技,深圳
2113,*ST天润,深圳
2114,罗平锌电,深圳
2115,三维通信,深圳
2116,中国海诚,深圳
2117,东港股份,深圳
2118,紫鑫药业,深圳
2119,康强电子,深圳
2120,韵达股份,深圳
2121,*ST科陆,深圳
2122,*ST天马,深圳
2123,梦网集团,深圳
2124,天邦股份,深圳
2125,湘潭电化,深圳
2126,银轮股份,深圳
2127,南极电商,深圳
2128,露天煤业,深圳
2129,中环股份,深圳
2130,沃尔核材,深圳
2131,利欧股份,深圳
2132,恒星科技,深圳
2133,广宇集团,深圳
2134,天津普林,深圳
2135,东南网架,深圳
2136,安纳达,深圳
2137,麦达数字,深圳
2138,顺络电子,深圳
2139,拓邦股份,深圳
2140,东华科技,深圳
2141,贤丰控股,深圳
2142,宁波银行,深圳
2144,宏达高科,深圳
2145,中核钛白,深圳
2146,荣盛发展,深圳
2147,*ST新光,深圳
2148,北纬科技,深圳
2149,西部材料,深圳
2150,通润装备,深圳
2151,北斗星通,深圳
2152,广电运通,深圳
2153,石基信息,深圳
2154,报喜鸟,深圳
2155,湖南黄金,深圳
2156,通富微电,深圳
2157,正邦科技,深圳
2158,汉钟精机,深圳
2159,三特索道,深圳
2160,常铝股份,深圳
2161,远望谷,深圳
2162,悦心健康,深圳
2163,中航三鑫,深圳
2164,宁波东力,深圳
2165,红宝丽,深圳
2166,莱茵生物,深圳
2167,东方锆业,深圳
2168,惠程科技,深圳
2169,智光电气,深圳
2170,芭田股份,深圳
2171,楚江新材,深圳
2172,澳洋健康,深圳
2173,创新医疗,深圳
2174,游族网络,深圳
2175,*ST东网,深圳
2176,*ST江特,深圳
2177,御银股份,深圳
2178,延华智能,深圳
2179,中航光电,深圳
2180,纳思达,深圳
2181,粤传媒,深圳
2182,云海金属,深圳
2183,怡亚通,深圳
2184,海得控制,深圳
2185,华天科技,深圳
2186,全聚德,深圳
2187,广百股份,深圳
2188,*ST巴士,深圳
2189,中光学,深圳
2190,*ST集成,深圳
2191,劲嘉股份,深圳
2192,*ST融捷,深圳
2193,如意集团,深圳
2194,武汉凡谷,深圳
2195,二三四五,深圳
2196,方正电机,深圳
2197,证通电子,深圳
2198,嘉应制药,深圳
2199,东晶电子,深圳
2200,*ST云投,深圳
2201,九鼎新材,深圳
2202,金风科技,深圳
2203,海亮股份,深圳
2204,大连重工,深圳
2205,国统股份,深圳
2206,海利得,深圳
2207,ST准油,深圳
2208,合肥城建,深圳
2209,达意隆,深圳
2210,*ST飞马,深圳
2211,宏达新材,深圳
2212,南洋股份,深圳
2213,特尔佳,深圳
2214,大立科技,深圳
2215,诺普信,深圳
2216,三全食品,深圳
2217,合力泰,深圳
2218,拓日新能,深圳
2219,*ST恒康,深圳
2220,ST天宝,深圳
2221,东华能源,深圳
2222,福晶科技,深圳
2223,鱼跃医疗,深圳
2224,三力士,深圳
2225,濮耐股份,深圳
2226,江南化工,深圳
2227,奥特迅,深圳
2228,合兴包装,深圳
2229,鸿博股份,深圳
2230,科大讯飞,深圳
2231,奥维通信,深圳
2232,启明信息,深圳
2233,塔牌集团,深圳
2234,民和股份,深圳
2235,安妮股份,深圳
2236,大华股份,深圳
2237,恒邦股份,深圳
2238,天威视讯,深圳
2239,奥特佳,深圳
2240,威华股份,深圳
2241,歌尔股份,深圳
2242,九阳股份,深圳
2243,通产丽星,深圳
2244,滨江集团,深圳
2245,澳洋顺昌,深圳
2246,北化股份,深圳
2247,*ST聚力,深圳
2248,华东数控,深圳
2249,大洋电机,深圳
2250,联化科技,深圳
